DATE,OIL_PRICE
1/3/1986,25.78
1/10/1986,25.99
1/17/1986,24.57
1/24/1986,20.31
1/31/1986,19.69
2/7/1986,16.72
2/14/1986,16.25
2/21/1986,14.39
2/28/1986,14.25
3/7/1986,12.27
3/14/1986,13.07
3/21/1986,13.45
3/28/1986,12
4/4/1986,11.44
4/11/1986,13.46
4/18/1986,12.16
4/25/1986,13.44
5/2/1986,13.76
5/9/1986,15.08
5/16/1986,15.74
5/23/1986,16.37
5/30/1986,14.64
6/6/1986,13.25
6/13/1986,13.21
6/20/1986,13.82
6/27/1986,13.56
7/4/1986,12.23
7/11/1986,11.13
7/18/1986,12.17
7/25/1986,11.31
8/1/1986,11.45
8/8/1986,14.63
8/15/1986,15.39
8/22/1986,15.3
8/29/1986,15.77
9/5/1986,16.07
9/12/1986,15.13
9/19/1986,14.23
9/26/1986,14.3
10/3/1986,15.02
10/10/1986,15.16
10/17/1986,14.69
10/24/1986,15.01
10/31/1986,14.53
11/7/1986,14.98
11/14/1986,15.45
11/21/1986,15.4
11/28/1986,15.01
12/5/1986,15.2
12/12/1986,15.34
12/19/1986,16.23
12/26/1986,17.05
1/2/1987,17.86
1/9/1987,18.38
1/16/1987,19.04
1/23/1987,18.68
1/30/1987,18.62
2/6/1987,18.45
2/13/1987,18.14
2/20/1987,17.63
2/27/1987,16.75
3/6/1987,17.47
3/13/1987,18.31
3/20/1987,18.72
3/27/1987,18.59
4/3/1987,18.77
4/10/1987,18.6
4/17/1987,18.3
4/24/1987,18.94
5/1/1987,18.76
5/8/1987,19.14
5/15/1987,19.52
5/22/1987,19.85
5/29/1987,19.34
6/5/1987,19.73
6/12/1987,19.88
6/19/1987,20.38
6/26/1987,20.21
7/3/1987,20.46
7/10/1987,21.06
7/17/1987,22.03
7/24/1987,21.5
7/31/1987,21.25
8/7/1987,21.52
8/14/1987,20.8
8/21/1987,19.61
8/28/1987,19.42
9/4/1987,19.56
9/11/1987,19.38
9/18/1987,19.63
9/25/1987,19.57
10/2/1987,19.64
10/9/1987,19.65
10/16/1987,19.82
10/23/1987,19.98
10/30/1987,20.03
11/6/1987,19.17
11/13/1987,18.88
11/20/1987,18.6
11/27/1987,18.83
12/4/1987,18.62
12/11/1987,18.34
12/18/1987,16.35
12/25/1987,16.23
1/1/1988,16.78
1/8/1988,17.6
1/15/1988,16.79
1/22/1988,17.2
1/29/1988,16.92
2/5/1988,17.08
2/12/1988,17.24
2/19/1988,16.7
2/26/1988,16.33
3/4/1988,15.64
3/11/1988,15.74
3/18/1988,16.08
3/25/1988,16.58
4/1/1988,17.07
4/8/1988,16.89
4/15/1988,18.15
4/22/1988,18.16
4/29/1988,18.25
5/6/1988,17.34
5/13/1988,17.51
5/20/1988,17.53
5/27/1988,17.29
6/3/1988,17.55
6/10/1988,17.15
6/17/1988,16.58
6/24/1988,15.95
7/1/1988,15.47
7/8/1988,15.45
7/15/1988,14.64
7/22/1988,15.86
7/29/1988,16.14
8/5/1988,15.45
8/12/1988,15.67
8/19/1988,15.58
8/26/1988,15.54
9/2/1988,15.13
9/9/1988,14.4
9/16/1988,14.75
9/23/1988,14.9
9/30/1988,13.94
10/7/1988,12.85
10/14/1988,14.08
10/21/1988,14.76
10/28/1988,13.44
11/4/1988,13.75
11/11/1988,13.93
11/18/1988,13.75
11/25/1988,14.43
12/2/1988,15.33
12/9/1988,15.61
12/16/1988,16.31
12/23/1988,17.04
12/30/1988,16.99
1/6/1989,17.35
1/13/1989,18.06
1/20/1989,19.05
1/27/1989,17.85
2/3/1989,17.41
2/10/1989,17.39
2/17/1989,18.08
2/24/1989,18.46
3/3/1989,18.4
3/10/1989,18.5
3/17/1989,19.71
3/24/1989,20
3/31/1989,20.4
4/7/1989,20.11
4/14/1989,20.56
4/21/1989,22.73
4/28/1989,20.87
5/5/1989,20.23
5/12/1989,19.75
5/19/1989,20.42
5/26/1989,20.28
6/2/1989,19.89
6/9/1989,20.08
6/16/1989,19.94
6/23/1989,19.95
6/30/1989,20.25
7/7/1989,20.59
7/14/1989,20.42
7/21/1989,20.06
7/28/1989,18.34
8/4/1989,18.15
8/11/1989,18.25
8/18/1989,18.77
8/25/1989,18.96
9/1/1989,18.77
9/8/1989,19.31
9/15/1989,19.8
9/22/1989,19.63
9/29/1989,19.77
10/6/1989,20.03
10/13/1989,20.37
10/20/1989,20.46
10/27/1989,19.65
11/3/1989,19.99
11/10/1989,19.89
11/17/1989,19.74
11/24/1989,20.02
12/1/1989,19.7
12/8/1989,20.36
12/15/1989,20.81
12/22/1989,21.76
12/29/1989,21.78
1/5/1990,23.29
1/12/1990,22.62
1/19/1990,22.71
1/26/1990,23.08
2/2/1990,22.7
2/9/1990,22.23
2/16/1990,22.27
2/23/1990,21.81
3/2/1990,21.51
3/9/1990,21.01
3/16/1990,20.19
3/23/1990,19.73
3/30/1990,20.26
4/6/1990,19.83
4/13/1990,17.96
4/20/1990,17.6
4/27/1990,18.2
5/4/1990,18.37
5/11/1990,18.71
5/18/1990,19.19
5/25/1990,16.83
6/1/1990,17.72
6/8/1990,16.77
6/15/1990,17.11
6/22/1990,15.9
6/29/1990,16.84
7/6/1990,16.68
7/13/1990,17.64
7/20/1990,18.83
7/27/1990,19.89
8/3/1990,21.98
8/10/1990,27.32
8/17/1990,27.27
8/24/1990,30.08
8/31/1990,27.13
9/7/1990,29.67
9/14/1990,30.99
9/21/1990,34.21
9/28/1990,39.16
10/5/1990,36.64
10/12/1990,39.88
10/19/1990,36.84
10/26/1990,31.32
11/2/1990,34.95
11/9/1990,33.89
11/16/1990,31.5
11/23/1990,30.69
11/30/1990,32.32
12/7/1990,27.72
12/14/1990,26.39
12/21/1990,27.56
12/28/1990,27.21
1/4/1991,26.38
1/11/1991,27.55
1/18/1991,26.85
1/25/1991,24.08
2/1/1991,21.41
2/8/1991,21.3
2/15/1991,22.12
2/22/1991,19.38
3/1/1991,18.73
3/8/1991,19.86
3/15/1991,19.89
3/22/1991,20.3
3/29/1991,19.58
4/5/1991,19.63
4/12/1991,20.89
4/19/1991,21.48
4/26/1991,21.19
5/3/1991,21.23
5/10/1991,21.69
5/17/1991,20.95
5/24/1991,21.04
5/31/1991,21.21
6/7/1991,20.63
6/14/1991,19.84
6/21/1991,20.08
6/28/1991,20.21
7/5/1991,20.8
7/12/1991,21.43
7/19/1991,21.91
7/26/1991,21.4
8/2/1991,21.46
8/9/1991,21.5
8/16/1991,21.44
8/23/1991,21.99
8/30/1991,21.98
9/6/1991,21.84
9/13/1991,21.54
9/20/1991,21.85
9/27/1991,22.24
10/4/1991,22.41
10/11/1991,23.08
10/18/1991,23.82
10/25/1991,23.46
11/1/1991,23.32
11/8/1991,23.47
11/15/1991,22.57
11/22/1991,22.04
11/29/1991,21.49
12/6/1991,20.55
12/13/1991,19.64
12/20/1991,19.2
12/27/1991,18.68
1/3/1992,19.11
1/10/1992,18.41
1/17/1992,18.81
1/24/1992,18.66
1/31/1992,19.05
2/7/1992,19.42
2/14/1992,19.49
2/21/1992,18.62
2/28/1992,18.51
3/6/1992,18.55
3/13/1992,18.76
3/20/1992,19.1
3/27/1992,19.09
4/3/1992,19.73
4/10/1992,20.43
4/17/1992,20.06
4/24/1992,20.06
5/1/1992,20.63
5/8/1992,20.86
5/15/1992,20.8
5/22/1992,20.49
5/29/1992,21.98
6/5/1992,22.38
6/12/1992,22.35
6/19/1992,22.26
6/26/1992,22.68
7/3/1992,22.03
7/10/1992,21.48
7/17/1992,21.58
7/24/1992,21.95
7/31/1992,21.95
8/7/1992,21.34
8/14/1992,21.18
8/21/1992,21.39
8/28/1992,21.43
9/4/1992,21.66
9/11/1992,21.94
9/18/1992,22.21
9/25/1992,21.71
10/2/1992,21.81
10/9/1992,21.9
10/16/1992,22.25
10/23/1992,21.58
10/30/1992,20.95
11/6/1992,20.52
11/13/1992,20.37
11/20/1992,20.35
11/27/1992,20.16
12/4/1992,19.38
12/11/1992,19.01
12/18/1992,19.38
12/25/1992,19.91
1/1/1993,19.63
1/8/1993,19
1/15/1993,18.62
1/22/1993,18.61
1/29/1993,19.9
2/5/1993,20.22
2/12/1993,20.13
2/19/1993,19.51
2/26/1993,20.4
3/5/1993,20.69
3/12/1993,20.45
3/19/1993,20.14
3/26/1993,20
4/2/1993,20.44
4/9/1993,20.37
4/16/1993,20.28
4/23/1993,19.95
4/30/1993,20.3
5/7/1993,20.47
5/14/1993,20.06
5/21/1993,19.43
5/28/1993,19.84
6/4/1993,19.95
6/11/1993,19.43
6/18/1993,18.76
6/25/1993,18.52
7/2/1993,18.61
7/9/1993,18.02
7/16/1993,17.72
7/23/1993,17.54
7/30/1993,18.18
8/6/1993,17.67
8/13/1993,17.87
8/20/1993,17.84
8/27/1993,18.49
9/3/1993,18.1
9/10/1993,16.96
9/17/1993,16.94
9/24/1993,17.67
10/1/1993,18.33
10/8/1993,18.46
10/15/1993,18.57
10/22/1993,18.12
10/29/1993,17.37
11/5/1993,17.29
11/12/1993,16.71
11/19/1993,16.75
11/26/1993,16.08
12/3/1993,15.21
12/10/1993,14.68
12/17/1993,14.31
12/24/1993,14.4
12/31/1993,14.21
1/7/1994,15.03
1/14/1994,14.67
1/21/1994,15.02
1/28/1994,15.34
2/4/1994,15.76
2/11/1994,14.87
2/18/1994,14.13
2/25/1994,14.44
3/4/1994,14.68
3/11/1994,14.24
3/18/1994,14.82
3/25/1994,15.15
4/1/1994,14.44
4/8/1994,15.65
4/15/1994,16.07
4/22/1994,17.02
4/29/1994,16.93
5/6/1994,17.2
5/13/1994,17.93
5/20/1994,18.21
5/27/1994,18.14
6/3/1994,18.24
6/10/1994,18.26
6/17/1994,19.61
6/24/1994,19.8
7/1/1994,19.16
7/8/1994,19.39
7/15/1994,20.16
7/22/1994,19.39
7/29/1994,19.66
8/5/1994,20.09
8/12/1994,18.88
8/19/1994,17.85
8/26/1994,17.23
9/2/1994,17.52
9/9/1994,17.65
9/16/1994,16.93
9/23/1994,17.38
9/30/1994,17.83
10/7/1994,18.13
10/14/1994,17.37
10/21/1994,17.35
10/28/1994,17.93
11/4/1994,18.69
11/11/1994,18.25
11/18/1994,17.51
11/25/1994,17.73
12/2/1994,17.78
12/9/1994,16.99
12/16/1994,16.86
12/23/1994,17.1
12/30/1994,17.71
1/6/1995,17.62
1/13/1995,17.55
1/20/1995,18.45
1/27/1995,18.34
2/3/1995,18.5
2/10/1995,18.42
2/17/1995,18.55
2/24/1995,18.75
3/3/1995,18.5
3/10/1995,18.27
3/17/1995,18.13
3/24/1995,18.69
3/31/1995,19.12
4/7/1995,19.43
4/14/1995,19.53
4/21/1995,20.26
4/28/1995,20.29
5/5/1995,20.24
5/12/1995,19.74
5/19/1995,19.98
5/26/1995,19.37
6/2/1995,18.92
6/9/1995,19.05
6/16/1995,18.91
6/23/1995,17.88
6/30/1995,17.71
7/7/1995,17.28
7/14/1995,17.34
7/21/1995,17.21
7/28/1995,17.41
8/4/1995,17.72
8/11/1995,17.81
8/18/1995,17.6
8/25/1995,19.02
9/1/1995,17.88
9/8/1995,18.37
9/15/1995,18.72
9/22/1995,18.32
9/29/1995,17.55
10/6/1995,17.29
10/13/1995,17.28
10/20/1995,17.51
10/27/1995,17.56
11/3/1995,17.79
11/10/1995,17.76
11/17/1995,18.06
11/24/1995,17.99
12/1/1995,18.32
12/8/1995,18.74
12/15/1995,19.02
12/22/1995,19.12
12/29/1995,19.44
1/5/1996,19.99
1/12/1996,19.43
1/19/1996,18.64
1/26/1996,18.35
2/2/1996,17.64
2/9/1996,17.72
2/16/1996,18.8
2/23/1996,21.45
3/1/1996,19.49
3/8/1996,19.72
3/15/1996,20.8
3/22/1996,23.16
3/29/1996,22.03
4/5/1996,22.49
4/12/1996,23.95
4/19/1996,24.34
4/26/1996,23.8
5/3/1996,21.16
5/10/1996,20.98
5/17/1996,21.06
5/24/1996,22.24
5/31/1996,20.37
6/7/1996,20.04
6/14/1996,20.15
6/21/1996,20.95
6/28/1996,20.55
7/5/1996,21.4
7/12/1996,21.65
7/19/1996,21.8
7/26/1996,20.96
8/2/1996,20.66
8/9/1996,21.35
8/16/1996,22.25
8/23/1996,22.5
8/30/1996,21.82
9/6/1996,23.48
9/13/1996,24.42
9/20/1996,23.52
9/27/1996,24.33
10/4/1996,24.44
10/11/1996,24.93
10/18/1996,25.45
10/25/1996,25.15
11/1/1996,23.91
11/8/1996,22.92
11/15/1996,23.9
11/22/1996,24.03
11/29/1996,24.21
12/6/1996,25.14
12/13/1996,24.2
12/20/1996,26.02
12/27/1996,25.44
1/3/1997,25.59
1/10/1997,26.3
1/17/1997,25.42
1/24/1997,24.4
1/31/1997,24.24
2/7/1997,23.49
2/14/1997,22.21
2/21/1997,22.18
2/28/1997,20.83
3/7/1997,20.77
3/14/1997,20.64
3/21/1997,21.72
3/28/1997,20.83
4/4/1997,19.76
4/11/1997,19.38
4/18/1997,19.65
4/25/1997,19.85
5/2/1997,19.99
5/9/1997,19.94
5/16/1997,21.45
5/23/1997,21.43
5/30/1997,20.9
6/6/1997,20.12
6/13/1997,18.88
6/20/1997,18.93
6/27/1997,19
7/4/1997,19.95
7/11/1997,19.44
7/18/1997,19.49
7/25/1997,19.52
8/1/1997,20.13
8/8/1997,20.35
8/15/1997,19.99
8/22/1997,19.92
8/29/1997,19.5
9/5/1997,19.61
9/12/1997,19.44
9/19/1997,19.44
9/26/1997,20.12
10/3/1997,21.62
10/10/1997,22.01
10/17/1997,21.03
10/24/1997,21
10/31/1997,20.92
11/7/1997,20.65
11/14/1997,20.66
11/21/1997,19.81
11/28/1997,19.3
12/5/1997,18.69
12/12/1997,18.44
12/19/1997,18.31
12/26/1997,18.31
1/2/1998,17.58
1/9/1998,16.83
1/16/1998,16.47
1/23/1998,16.02
1/30/1998,17.3
2/6/1998,16.65
2/13/1998,16.25
2/20/1998,16.03
2/27/1998,15.3
3/6/1998,15.23
3/13/1998,14.4
3/20/1998,14.04
3/27/1998,16.42
4/3/1998,15.98
4/10/1998,15.55
4/17/1998,15.53
4/24/1998,14.5
5/1/1998,15.71
5/8/1998,15.48
5/15/1998,15.03
5/22/1998,13.91
5/29/1998,14.99
6/5/1998,15.02
6/12/1998,13.42
6/19/1998,12.04
6/26/1998,14.17
7/3/1998,14.41
7/10/1998,13.94
7/17/1998,14.48
7/24/1998,13.89
7/31/1998,14.24
8/7/1998,13.83
8/14/1998,13.12
8/21/1998,13.33
8/28/1998,13.65
9/4/1998,13.98
9/11/1998,14.45
9/18/1998,14.88
9/25/1998,15.78
10/2/1998,15.83
10/9/1998,15.02
10/16/1998,14.21
10/23/1998,13.81
10/30/1998,14.34
11/6/1998,14.13
11/13/1998,13.63
11/20/1998,12.4
11/27/1998,11.62
12/4/1998,11.28
12/11/1998,11.16
12/18/1998,11.5
12/25/1998,11
1/1/1999,11.83
1/8/1999,12.67
1/15/1999,12.62
1/22/1999,12.26
1/29/1999,12.46
2/5/1999,12.16
2/12/1999,11.81
2/19/1999,11.66
2/26/1999,12.36
3/5/1999,12.9
3/12/1999,14.19
3/19/1999,14.91
3/26/1999,15.55
4/2/1999,16.61
4/9/1999,16.45
4/16/1999,16.77
4/23/1999,17.93
4/30/1999,18.23
5/7/1999,18.62
5/14/1999,18
5/21/1999,17.18
5/28/1999,17.07
6/4/1999,16.77
6/11/1999,17.96
6/18/1999,18.21
6/25/1999,18.05
7/2/1999,19.04
7/9/1999,19.87
7/16/1999,20.21
7/23/1999,19.89
7/30/1999,20.62
8/6/1999,20.54
8/13/1999,21.44
8/20/1999,21.62
8/27/1999,21.21
9/3/1999,21.88
9/10/1999,23
9/17/1999,24.28
9/24/1999,24.53
10/1/1999,24.58
10/8/1999,22.72
10/15/1999,22.54
10/22/1999,22.65
10/29/1999,22.5
11/5/1999,22.72
11/12/1999,24.22
11/19/1999,26.05
11/26/1999,27.35
12/3/1999,25.46
12/10/1999,26.19
12/17/1999,26.2
12/24/1999,26.07
12/31/1999,26.34
1/7/2000,24.95
1/14/2000,26.27
1/21/2000,29.37
1/28/2000,28.34
2/4/2000,28.08
2/11/2000,28.83
2/18/2000,29.87
2/25/2000,30.1
3/3/2000,31.07
3/10/2000,32.14
3/17/2000,31.29
3/24/2000,27.99
3/31/2000,26.92
4/7/2000,25.6
4/14/2000,24.87
4/21/2000,26.66
4/28/2000,25.95
5/5/2000,26.75
5/12/2000,28.7
5/19/2000,29.88
5/26/2000,29.46
6/2/2000,29.98
6/9/2000,29.79
6/16/2000,32.45
6/23/2000,33.55
6/30/2000,32.12
7/7/2000,30.4
7/14/2000,30.44
7/21/2000,30.65
7/28/2000,28.02
8/4/2000,28.5
8/11/2000,30.14
8/18/2000,31.82
8/25/2000,32.46
9/1/2000,33.08
9/8/2000,34.42
9/15/2000,34.7
9/22/2000,35.49
9/29/2000,31.13
10/6/2000,31.27
10/13/2000,33.9
10/20/2000,33.48
10/27/2000,33.92
11/3/2000,32.78
11/10/2000,33.46
11/17/2000,35
11/24/2000,35.91
12/1/2000,34.1
12/8/2000,29.69
12/15/2000,29.05
12/22/2000,27.38
12/29/2000,26.52
1/5/2001,27.8
1/12/2001,28.81
1/19/2001,30.63
1/26/2001,31.35
2/2/2001,29.59
2/9/2001,30.92
2/16/2001,29.67
2/23/2001,28.65
3/2/2001,27.91
3/9/2001,28.45
3/16/2001,27.02
3/23/2001,26.42
3/30/2001,26.86
4/6/2001,26.76
4/13/2001,28.27
4/20/2001,27.89
4/27/2001,26.99
5/4/2001,28.36
5/11/2001,28.12
5/18/2001,29.08
5/25/2001,28.92
6/1/2001,28.44
6/8/2001,27.98
6/15/2001,28.9
6/22/2001,27.09
6/29/2001,26.37
7/6/2001,26.87
7/13/2001,27.07
7/20/2001,25.26
7/27/2001,26.5
8/3/2001,27.1
8/10/2001,27.87
8/17/2001,27.52
8/24/2001,27.25
8/31/2001,26.84
9/7/2001,27.38
9/14/2001,28.22
9/21/2001,27.09
9/28/2001,22.35
10/5/2001,22.6
10/12/2001,22.66
10/19/2001,21.92
10/26/2001,21.78
11/2/2001,21.17
11/9/2001,20.7
11/16/2001,19.61
11/23/2001,18.28
11/30/2001,19.13
12/7/2001,19.47
12/14/2001,18.45
12/21/2001,19.2
12/28/2001,20.94
1/4/2002,20.8
1/11/2002,20.54
1/18/2002,18.61
1/25/2002,19.21
2/1/2002,19.71
2/8/2002,19.97
2/15/2002,21.18
2/22/2002,20.7
3/1/2002,21.43
3/8/2002,23.31
3/15/2002,24.4
3/22/2002,25.25
3/29/2002,25.86
4/5/2002,26.99
4/12/2002,25.24
4/19/2002,25.54
4/26/2002,26.46
5/3/2002,26.88
5/10/2002,27.27
5/17/2002,28.43
5/24/2002,27.18
5/31/2002,25.22
6/7/2002,25.01
6/14/2002,24.94
6/21/2002,25.61
6/28/2002,26.52
7/5/2002,26.81
7/12/2002,26.7
7/19/2002,27.62
7/26/2002,26.64
8/2/2002,26.87
8/9/2002,26.77
8/16/2002,28.52
8/23/2002,30.09
8/30/2002,28.84
9/6/2002,28.65
9/13/2002,29.59
9/20/2002,29.39
9/27/2002,30.63
10/4/2002,30.25
10/11/2002,29.37
10/18/2002,29.65
10/25/2002,27.88
11/1/2002,27.03
11/8/2002,25.97
11/15/2002,25.68
11/22/2002,26.98
11/29/2002,26.83
12/6/2002,27.14
12/13/2002,27.82
12/20/2002,30.35
12/27/2002,32.38
1/3/2003,31.96
1/10/2003,31.54
1/17/2003,33.04
1/24/2003,34.46
1/31/2003,33.19
2/7/2003,33.95
2/14/2003,35.79
2/21/2003,36.78
2/28/2003,36.98
3/7/2003,36.98
3/14/2003,36.66
3/21/2003,30.46
3/28/2003,30.43
4/4/2003,29.33
4/11/2003,28.03
4/18/2003,29.28
4/25/2003,28.43
5/2/2003,25.69
5/9/2003,26.58
5/16/2003,28.54
5/23/2003,29.29
5/30/2003,29.1
6/6/2003,30.68
6/13/2003,31.46
6/20/2003,30.6
6/27/2003,30.01
7/4/2003,30.31
7/11/2003,30.73
7/18/2003,31.48
7/25/2003,30.61
8/1/2003,30.73
8/8/2003,32.11
8/15/2003,31.31
8/22/2003,31.19
8/29/2003,31.56
9/5/2003,29.2
9/12/2003,28.92
9/19/2003,27.39
9/26/2003,27.73
10/3/2003,29.43
10/10/2003,30.69
10/17/2003,31.49
10/24/2003,30.17
